"Participant","ParticipantGender","ParticipantAge","InterviewTime","Noun","Age","Gender","Education","ItemType","GramGender","Item","Sentence"
41,"female",33,735.17,"star",5,2,3,"experimental","feminine","star/as","C’est une star de la course à pied."
43,"male",24,852.1,"star",5,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
47,"female",20,575.59,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
48,"male",52,598.34,"star",4,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
49,"female",28,714.02,"star",3,3,4,"experimental","feminine","star/as","C’est une star de la course à pied."
53,"female",20,434.3,"star",3,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
55,"male",31,587.57,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
56,"female",21,648.32,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
57,"male",29,891.36,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
58,"male",19,481.45,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
59,"female",32,1233.38,"star",2,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
60,"female",22,491.28,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
62,"female",20,1199.42,"star",3,5,4,"experimental","feminine","star/as","C’est une star de la course à pied."
63,"female",25,830.89,"star",4,3,4,"experimental","feminine","star/as","C’est une star de la course à pied."
64,"female",63,742.23,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
66,"female",22,654.75,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
67,"female",43,1016.14,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
68,"female",50,817.01,"star",4,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
69,"female",19,447.26,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
72,"female",19,674.88,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
73,"male",56,905.11,"star",2,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
74,"female",19,781.13,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
75,"male",48,710.52,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
76,"female",31,311.7,"star",1,1,7,"experimental","feminine","star/as","C’est une star de la course à pied."
77,"male",26,1415.85,"star",3,3,3,"experimental","feminine","star/as","C’est une star de la course à pied."
78,"female",25,842.81,"star",4,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
79,"female",60,1166.06,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
81,"female",34,609.99,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
83,"female",66,874.4,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
85,"female",30,638.15,"star",4,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
87,"female",25,996.21,"star",1,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
88,"female",35,817.9,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
89,"male",28,660.86,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
90,"female",29,483.07,"star",5,1,6,"experimental","feminine","star/as","C’est une star de la course à pied."
91,"female",60,709.91,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
93,"female",19,1052.62,"star",NA,NA,NA,"experimental","feminine","star/as","C’est une star de la course à pied."
94,"female",20,777.49,"star",4,4,4,"experimental","feminine","star/as","C’est une star de la course à pied."
7,"female",32,412.38,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
10,"female",24,724.59,"individu",4,4,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
11,"female",21,839.88,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
12,"female",22,518.82,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
14,"male",27,1493.74,"individu",2,1,1,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
17,"female",25,840.05,"individu",4,2,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
18,"female",21,1413.65,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
19,"N/A",32,448.5,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
20,"female",20,651.83,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
22,"female",25,1095.14,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
24,"female",22,1167.49,"individu",4,4,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
25,"male",24,677.83,"individu",4,2,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
26,"female",28,520.58,"individu",3,2,2,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
27,"female",31,981.42,"individu",3,1,2,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
31,"male",31,1266.73,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
32,"female",21,701.66,"individu",4,4,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
33,"female",31,855.51,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
34,"female",20,502.56,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
35,"female",31,792.85,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
37,"female",25,631.36,"individu",4,3,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
38,"female",29,496.41,"individu",7,1,6,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
39,"female",25,654.53,"individu",3,4,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
40,"female",20,810.88,"individu",4,3,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
41,"female",33,735.17,"individu",6,2,6,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
43,"male",24,852.1,"individu",5,1,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
47,"female",20,575.59,"individu",5,5,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
48,"male",52,598.34,"individu",3,2,2,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
49,"female",28,714.02,"individu",4,4,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
53,"female",20,434.3,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
55,"male",31,587.57,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
56,"female",21,648.32,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
57,"male",29,891.36,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
58,"male",19,481.45,"individu",4,4,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
59,"female",32,1233.38,"individu",4,4,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
60,"female",22,491.28,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
62,"female",20,1199.42,"individu",3,2,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
63,"female",25,830.89,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
64,"female",63,742.23,"individu",4,4,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
66,"female",22,654.75,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
67,"female",43,1016.14,"individu",4,4,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
68,"female",50,817.01,"individu",4,4,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
69,"female",19,447.26,"individu",4,1,3,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
72,"female",19,674.88,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
73,"male",56,905.11,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
74,"female",19,781.13,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
75,"male",48,710.52,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
76,"female",31,311.7,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
77,"male",26,1415.85,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
78,"female",25,842.81,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
79,"female",60,1166.06,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
81,"female",34,609.99,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
83,"female",66,874.4,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
85,"female",30,638.15,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
87,"female",25,996.21,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
88,"female",35,817.9,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
89,"male",28,660.86,"individu",4,1,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
90,"female",29,483.07,"individu",NA,NA,NA,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
91,"female",60,709.91,"individu",4,2,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
93,"female",19,1052.62,"individu",3,4,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
94,"female",20,777.49,"individu",4,4,4,"experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
7,"female",32,412.38,"depouille",4,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
10,"female",24,724.59,"depouille",5,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
11,"female",21,839.88,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
12,"female",22,518.82,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
14,"male",27,1493.74,"depouille",6,1,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
17,"female",25,840.05,"depouille",4,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
18,"female",21,1413.65,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
19,"N/A",32,448.5,"depouille",7,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
20,"female",20,651.83,"depouille",4,4,5,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
22,"female",25,1095.14,"depouille",4,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
24,"female",22,1167.49,"depouille",6,4,3,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
25,"male",24,677.83,"depouille",6,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
26,"female",28,520.58,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
27,"female",31,981.42,"depouille",7,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
31,"male",31,1266.73,"depouille",5,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
32,"female",21,701.66,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
33,"female",31,855.51,"depouille",4,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
34,"female",20,502.56,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
35,"female",31,792.85,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
37,"female",25,631.36,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
38,"female",29,496.41,"depouille",7,7,7,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
39,"female",25,654.53,"depouille",6,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
40,"female",20,810.88,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
41,"female",33,735.17,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
43,"male",24,852.1,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
47,"female",20,575.59,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
48,"male",52,598.34,"depouille",7,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
49,"female",28,714.02,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
53,"female",20,434.3,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
55,"male",31,587.57,"depouille",7,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
56,"female",21,648.32,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
57,"male",29,891.36,"depouille",7,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
58,"male",19,481.45,"depouille",7,4,6,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
59,"female",32,1233.38,"depouille",4,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
60,"female",22,491.28,"depouille",7,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
62,"female",20,1199.42,"depouille",7,4,5,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
63,"female",25,830.89,"depouille",5,5,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
64,"female",63,742.23,"depouille",7,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
66,"female",22,654.75,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
67,"female",43,1016.14,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
68,"female",50,817.01,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
69,"female",19,447.26,"depouille",7,1,6,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
72,"female",19,674.88,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
73,"male",56,905.11,"depouille",4,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
74,"female",19,781.13,"depouille",6,4,7,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
75,"male",48,710.52,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
76,"female",31,311.7,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
77,"male",26,1415.85,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
78,"female",25,842.81,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
79,"female",60,1166.06,"depouille",7,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
81,"female",34,609.99,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
83,"female",66,874.4,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
85,"female",30,638.15,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
87,"female",25,996.21,"depouille",7,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
88,"female",35,817.9,"depouille",5,3,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
89,"male",28,660.86,"depouille",7,4,4,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
90,"female",29,483.07,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
91,"female",60,709.91,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
93,"female",19,1052.62,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
94,"female",20,777.49,"depouille",NA,NA,NA,"experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
7,"female",32,412.38,"phenomene",4,4,4,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
10,"female",24,724.59,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
11,"female",21,839.88,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
12,"female",22,518.82,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
14,"male",27,1493.74,"phenomene",4,1,1,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
17,"female",25,840.05,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
18,"female",21,1413.65,"phenomene",3,1,2,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
19,"N/A",32,448.5,"phenomene",4,3,4,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
20,"female",20,651.83,"phenomene",6,2,3,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
22,"female",25,1095.14,"phenomene",5,2,4,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
24,"female",22,1167.49,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
25,"male",24,677.83,"phenomene",4,3,6,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
26,"female",28,520.58,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
27,"female",31,981.42,"phenomene",5,1,4,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
31,"male",31,1266.73,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
32,"female",21,701.66,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
33,"female",31,855.51,"phenomene",6,1,2,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
34,"female",20,502.56,"phenomene",4,3,3,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
35,"female",31,792.85,"phenomene",5,4,4,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
37,"female",25,631.36,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
38,"female",29,496.41,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
39,"female",25,654.53,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
40,"female",20,810.88,"phenomene",3,3,4,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
41,"female",33,735.17,"phenomene",7,6,6,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
43,"male",24,852.1,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
47,"female",20,575.59,"phenomene",6,1,2,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
48,"male",52,598.34,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
49,"female",28,714.02,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
53,"female",20,434.3,"phenomene",3,4,2,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
55,"male",31,587.57,"phenomene",3,2,3,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
56,"female",21,648.32,"phenomene",3,3,2,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
57,"male",29,891.36,"phenomene",3,2,5,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
58,"male",19,481.45,"phenomene",6,4,6,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
59,"female",32,1233.38,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
60,"female",22,491.28,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
62,"female",20,1199.42,"phenomene",2,2,2,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
63,"female",25,830.89,"phenomene",2,7,3,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
64,"female",63,742.23,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
66,"female",22,654.75,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
67,"female",43,1016.14,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
68,"female",50,817.01,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
69,"female",19,447.26,"phenomene",5,1,6,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
72,"female",19,674.88,"phenomene",3,4,2,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
73,"male",56,905.11,"phenomene",3,1,3,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
74,"female",19,781.13,"phenomene",3,2,4,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
75,"male",48,710.52,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
76,"female",31,311.7,"phenomene",3,2,3,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
77,"male",26,1415.85,"phenomene",4,1,2,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
78,"female",25,842.81,"phenomene",4,4,4,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
79,"female",60,1166.06,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
81,"female",34,609.99,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
83,"female",66,874.4,"phenomene",4,4,4,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
85,"female",30,638.15,"phenomene",3,2,3,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
87,"female",25,996.21,"phenomene",4,1,4,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
88,"female",35,817.9,"phenomene",3,2,2,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
89,"male",28,660.86,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
90,"female",29,483.07,"phenomene",4,2,4,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
91,"female",60,709.91,"phenomene",NA,NA,NA,"experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
